hhnum,initintrvmon,startmon,initfinaldays,initialdate_flag,startdate_edit,startlag,matchconsenthh,nonmetro,region,rural,tsstrata,tspsu,hhwgt,targetgroup,resunitsize,hhsize,famsize,numguests,guestspay,hhsizechange,hhsizechild,hhsizemove,hhsizechangeoth,inchhavg_r,inchhavg_flag,pctpovguidehh_r,povguide_hh,povthresh_hh,inchhimp1_r,inchhimp2_r,inchhimp3_r,inchhimp4_r,inchhimp5_r,inchhreported_r,incfamavg_r,povguide_fam,povthresh_fam,incfamreported_r,incworksheet,selfemployhh,selfemployfoodhh,jobchangeany,jobchangecat,earnlessnum_r,earnmorenum_r,earnsamenum,housingown,housingpub,housingsub,liqassets,anyvehicle,vehiclenum,caraccess,largeexp,exprentmrtg_r,exphomeins_r,expproptax_r,exppubtrans_r,expelectric_r,expheatfuel_r,expwastedisp_r,exphealthins_r,expcopay_r,expdoctor_r,exprx_r,expchildcare_r,expchildsupport_r,expadultcare_r,snapnowhh,snapnowreport,snapnowadmin,snapever,snap12mos,snaplastamt_r,snapusualamt,snapdays_initial,snapdays1,snapdays2,snapdays3,snapdays4,snapdays5,snapdays6,snapdays7,snapdays_final,snapdays_initial_u,snapdays1_u,snapdays2_u,snapdays3_u,snapdays4_u,snapdays5_u,snapdays6_u,snapdays7_u,snapdays_final_u,usdafoods,schservebrkfst,wiccategelig,anypregnant,wichh,mealdelivery,mealfacility,adltfsraw,adltfscat,foodsufficient,foodsecureq1,foodsecureq2,foodsecureq3,foodsecureq4,foodsecureq5,foodsecureq6,foodsecureq7,foodsecureq8,foodsecureq9,foodsecureq10,grocerylistfreq,primstoreplaceid,primstoresnaptype,primstoretype,primstoreedit_type,primstoreedit_filltype,primstoredist_s,primstoredist_d,primstoretime_d,primstoredist_w,primstoretime_w,primstoretravelmode,primstoretravelcost,primstoretraveltime,primstoreprices,primstoreproduce,primstoremeat,primstorequality,primstorevariety,primstorespecial,primstoreclose,primstoreloyalty,primstoreothreason,whynotsupermkt1,whynotsupermkt2,whynotsupermkt3,whynotsupermkt4,whynotsupermkt5,whynotsupermkt6,whynotsupermkt7,whynotsupermkt8,whynotsupermkt9,whynotsupermktoth,altstoreplaceid,altstoresnaptype,altstoretype,altstoreedit_type,altstoreedit_filltype,altstorereason,altstoredist_s,altstoredist_d,altstoretime_d,altstoredist_w,altstoretime_w,evershopother,foodstorenum,shopconv,shopbigbox,shopclub,shopdollar,shopbakery,shopmeatfish,shopvegstand,shopanyother,shopothnone,foodpantry,gardenown,gardenelse,farmersmarket,huntfish,dietstatuspr,dietstatushh,healthycost,healthytime,healthytastepr,healthytastehh,eathealthyhh,myplate,myplatefollow,mypyramid,foodpyramid,mypyramidsearch,mypyramidfollow,fruitsveg,nutritionfacts,nutritioneduc,nutritionsearch,anyvegetarian,anylactoseintol,anyfoodallergy,allergywheat,allergymilk,allergyegg,allergyfish,allergyshellfish,allergycorn,allergypeanut,allergyothnut,allergysoy,allergyoth,anydieting,anytobacco,anyillness,fincondition,billrevfreq,billsontimefreq,payaboveminfreq,billpayprob6mos,evicted6mos,utilnotpaid6mos,cashadv6mos,paydayloan6mos,ndinnersouthh,nmealshome,nmealstogether,mealguestany,mealguest_flag,mealguestdays,mealguestdays_flag,mealguestsun,mealguestmon,mealguesttue,mealguestwed,mealguestthu,mealguestfri,mealguestsat,nguestbrkfstsun_r,nguestbrkfstmon_r,nguestbrkfsttue_r,nguestbrkfstwed_r,nguestbrkfstthu_r,nguestbrkfstfri_r,nguestbrkfstsat_r,nguestlunchsun_r,nguestlunchmon_r,nguestlunchtue_r,nguestlunchwed_r,nguestlunchthu_r,nguestlunchfri_r,nguestlunchsat_r,nguestdinnersun_r,nguestdinnermon_r,nguestdinnertue_r,nguestdinnerwed_r,nguestdinnerthu_r,nguestdinnerfri_r,nguestdinnersat_r,nguestsnacksun_r,nguestsnackmon_r,nguestsnacktue_r,nguestsnackwed_r,nguestsnackthu_r,nguestsnackfri_r,nguestsnacksat_r,units12,units34,elig_units1,elig_units2,elig_units3,elig_units4,benest1_hh,benest2_hh,benest3_hh,benest4_hh,feedback1,feedback2,feedback3,feedback4_1,feedback4_2,feedback4_3,feedback4_4,feedback4_5,feedback4_6,feedback4_7,feedback4_8
100012,1,1,8,0,0,1,1,1,3,1,15,14,6056.913412,4,5,5,5,0,0,0,-996,-996,-996,4667.33,0,207.3600889,2250.833333,2340.583333,4667.33,4667.33,4667.33,4667.33,4667.33,4667.33,4667.33,2250.833333,2340.583333,4667.33,1,0,-996,1,1,0,0,1,1,0,0,1,1,2,-996,0,500,0,0,0,289,0,17,411.67,0,0,18,0,0,0,1,0,1,1,1,4,-996,26,27,28,29,30,0,1,2,3,26,27,28,29,30,31,32,33,34,0,1,1,0,-996,0,0,1,2,2,3,3,2,0,-996,0,0,0,-996,-996,3,1017721,SM,122,,,0.327,0.682,2.37,0.662,12.45,1,-996,4,1,0,0,0,0,0,1,0,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1081879,SS,121,,,9,0.857,1.455,7.8,1.444,28.77,1,5,1,1,0,1,1,0,0,0,0,0,1,1,1,1,4,5,0,1,0,1,0,0,-996,1,-996,0,-996,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,1,4,1,1,0,1,1,1,1,9,2,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,1
100015,8,8,8,0,0,1,1,0,3,0,17,13,26741.18456,2,1,1,1,0,0,0,-996,-996,-996,1200,0,128.9167413,930.8333333,995.4166667,1200,1200,1200,1200,1200,1200,1200,930.8333333,995.4166667,1200,1,1,0,0,-996,-996,-996,-996,1,1,-996,1,1,1,-996,0,290,0,0,0,88,0,0,98,20,0,125,0,0,0,0,0,0,1,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,0,-996,0,-996,-996,0,1,2,2,3,2,2,3,0,-996,0,0,0,-996,-996,3,1053823,SM,122,,,1.042,1.352,7.38,-996,-996,1,-996,5,0,0,0,0,1,0,1,0,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,,122,0,1,1,-996,-996,-996,-996,-996,1,5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,4,-996,0,0,0,-996,0,0,-996,0,0,-996,-996,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,5,0,0,0,0,1,-996,5,-996,0,0,-996,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,1,1,1,1,1,16,16,16,16,1,6,2,0,0,0,0,0,0,0,1
100024,6,6,9,0,0,0,1,0,2,0,7,12,31665.57907,3,2,2,2,0,0,0,-996,-996,-996,5024.5,0,398.5062789,1260.833333,1318.75,5024.5,5024.5,5024.5,5024.5,5024.5,5024.5,5024.5,1260.833333,1318.75,5024.5,1,0,-996,1,1,0,1,0,1,0,0,1,1,2,-996,0,1125,13,0,0,125,50,49,300,0,0,65,0,0,0,0,0,0,1,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,0,1,1,0,-996,0,0,2,2,2,2,2,3,0,-996,0,0,0,-996,-996,2,1102197,SS,121,,,0.895,1.208,3.77,1.195,23.78,1,-996,3,0,0,0,0,0,0,1,0,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1039654,SS,121,,,1,1.968,2.397,6.73,-996,-996,0,-996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,-996,1,-996,0,-996,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,0,0,0,0,1,0,3,2,0,0,-996,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
100026,7,7,10,0,0,1,1,0,3,1,14,35,5686.761977,2,3,2,2,1,0,0,-996,-996,-996,1800,0,142.7627231,1260.833333,1281.166667,1800,1800,1800,1800,1800,1800,1800,1260.833333,1281.166667,1800,1,0,-996,0,-996,-996,-996,-996,2,-996,-996,1,1,1,-996,1,0,0,0,0,132,0,0,166.83,80,100,150,0,0,0,0,0,0,1,1,6,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,0,-996,1,0,-996,0,0,4,3,2,1,2,2,0,-996,0,1,0,0,-996,1,1135126,LG,111,,,1.715,4.358,9.98,-996,-996,1,-996,5,1,0,1,0,0,0,1,0,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1055564,CO,106,,,5,1.714,4.357,9.98,-996,-996,0,-996,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,4,0,1,0,1,0,0,-996,0,1,-996,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,5,3,6,1,0,0,0,0,2,7,21,0,0,-996,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
100028,5,5,8,0,0,1,1,0,1,0,24,51,1067.431417,4,7,7,6,0,0,1,0,1,0,3998,0,137.3489837,2910.833333,3101.416667,3998,3998,3998,3998,3998,3998,2998,2580.833333,2691.5,2998,1,0,-996,1,1,1,0,0,1,0,0,1,1,1,-996,0,475,0,0,0,86,70,100,31,0,0,3,0,0,0,1,1,1,-996,-996,16,1,16,17,18,19,20,21,22,23,24,16,17,18,19,20,21,22,23,24,0,0,1,0,1,0,0,9,4,3,1,1,2,1,3,1,1,0,1,7,2,1104922,SM,122,0,0,1.246,1.548,4.23,-996,-996,1,-996,15,0,0,0,0,0,0,1,0,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1123324,SS,121,,,7,2.383,3.019,7.57,-996,-996,1,5,1,1,0,1,0,0,0,0,0,0,1,0,1,0,4,3,0,0,0,1,0,0,-996,1,-996,0,-996,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,2,6,1,0,1,0,0,0,7,3,0,0,-996,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,1,1,1,1,1,113,113,113,113,1,4,1,0,0,0,0,0,0,0,1
100031,4,5,8,0,0,1,1,0,1,0,10,16,24517.33256,3,2,2,2,0,0,0,-996,-996,-996,7820.651844,1,620.2764186,1260.833333,1156.5,7552.4,7552.4,7999.803291,8001.615348,7997.040583,7552.4,7820.651844,1260.833333,1156.5,7552.4,1,0,-996,0,-996,-996,-996,-996,2,-996,-996,3,1,2,-996,0,0,3,383,0,108,120,20,191.67,80,0,250,0,0,0,0,0,0,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,0,-996,0,-996,-996,0,0,0,1,1,3,3,3,-996,-996,-996,-996,-996,-996,-996,5,1090861,SM,122,,,2.352,3.13,8.23,-996,-996,1,-996,10,0,0,0,1,0,0,0,0,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,,,107,0,1,9,,,,,,1,5,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,-996,1,-996,0,-996,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,5,4,1,-996,-996,-996,-996,-996,1,6,15,0,0,-996,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,1,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1
100040,5,5,9,0,0,1,1,0,3,0,12,43,3376.150784,4,2,2,2,0,0,0,-996,-996,-996,1500,1,118.9689359,1260.833333,1156.5,1500,1500,1500,1500,1500,1500,1500,1260.833333,1156.5,1500,0,0,-996,0,-996,-996,-996,-996,2,-996,-996,-997,1,1,-996,1,700,0,0,4.5,110,0,10,-997,0,0,-997,0,0,0,1,1,1,-996,-996,6,1,5,6,7,8,9,10,11,12,14,5,6,7,8,9,10,11,12,14,0,-996,0,-996,-996,0,0,0,1,2,3,3,3,-996,-996,-996,-996,-996,-996,-996,2,1168682,SS,121,,,1.48,2.098,5.72,-996,-996,1,-996,5,1,0,0,0,0,0,1,0,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,,121,0,1,9,-996,-996,-996,-996,-996,1,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4,4,0,0,0,0,1,0,-996,1,-996,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,4,3,-996,-996,-996,-996,-996,1,4,0,0,0,-996,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,1,1,1,1,1,206,206,206,206,1,1,3,1,0,0,0,0,0,0,0
100049,11,11,10,0,0,1,1,0,2,0,7,21,1260.173299,3,3,3,1,0,0,0,-996,-996,-996,3263.338,0,205.1338711,1590.833333,1496.583333,3263.338,3263.338,3263.338,3263.338,3263.338,3263.338,2123.338,930.8333333,995.4166667,2123.338,1,0,-996,0,-996,-996,-996,-996,1,0,0,1,1,2,-996,0,550,0,0,0,35,0,0,177.5,0,0,0,0,0,0,0,0,0,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,0,-996,0,-996,-996,0,0,0,1,1,3,3,3,-996,-996,-996,-996,-996,-996,-996,1,1160915,SS,121,,,4.422,6.48,13.35,-996,-996,1,-996,20,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1005837,SS,121,,,2,0.559,0.787,3.32,0.787,15.3,1,3,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,-996,1,0,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,5,-996,-996,-996,-996,-996,0,7,7,0,0,-996,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,3,0,0,2,2,0,0,307,241,1,2,1,0,0,0,0,0,0,0,1
100053,9,9,8,0,0,1,1,0,3,0,11,52,8672.995191,3,2,2,1,0,0,0,-996,-996,-996,3033.33,0,240.5813615,1260.833333,1281.166667,3033.33,3033.33,3033.33,3033.33,3033.33,3033.33,1213.33,930.8333333,995.4166667,1213.33,1,0,-996,0,-996,-996,-996,-996,1,0,0,1,1,2,-996,1,550,21,0,350,91,0,0,0,0,0,10,0,0,0,0,0,0,1,1,6,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,0,-996,0,-996,-996,0,0,3,3,2,3,3,2,0,-996,0,1,1,0,-996,4,1013605,SM,122,,,0.962,4.187,9.8,3.81,73.8,1,-996,10,1,0,0,0,0,0,1,0,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1118152,SS,121,,,1,1.952,3.885,8.95,-996,-996,1,4,1,1,0,1,0,0,0,0,0,0,1,0,1,0,4,4,1,0,0,1,0,1,1,1,-996,0,-996,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,5,4,1,0,0,0,0,0,0,3,0,0,0,-996,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1,2,0,0,1,1,0,0,16,16,1,4,1,0,0,0,0,0,0,0,1
100054,8,8,11,0,0,1,1,0,4,0,21,50,65768.4566,3,4,4,4,0,0,0,-996,-996,-996,15000,0,780.9110629,1920.833333,1940.25,15000,15000,15000,15000,15000,15000,15000,1920.833333,1940.25,15000,1,0,-996,0,-996,-996,-996,-996,2,-996,-996,3,1,3,-996,0,3000,211,250,0,100,12,10,300,572,700,10,800,0,0,0,0,0,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,0,0,1,0,0,0,0,0,1,1,3,3,3,-996,-996,-996,-996,-996,-996,-996,2,1165511,SM,122,,,0.416,0.941,3.27,0.844,16.53,1,-996,1,0,0,0,0,0,0,1,0,0,-996,-996,-996,-996,-996,-996,-996,-996,-996,-996,1006830,SS,121,,,1,1.58,2.274,7.78,-996,-996,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-996,0,1,-996,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,5,3,-996,-996,-996,-996,-996,1,2,7,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1
